name,type,category,power,accuracy,pp,description
Crunch,Dark,Special,80,100,15,20% chance to lower the target's Sp. Def by 1.
Curse,Normal,Non-Damaging,0,0,10,"Curses if Ghost, else -1 Spe, +1 Atk, +1 Def."
Cut,Normal,Physical,50,95,30,No additional effect.
Defense Curl,Normal,Non-Damaging,0,0,40,Raises the user's Defense by 1.
Destiny Bond,Ghost,Non-Damaging,0,0,5,"If an opponent knocks out the user, it also faints."
Detect,Fighting,Non-Damaging,0,0,5,Prevents moves from affecting the user this turn.
Dig,Ground,Physical,60,100,10,"Digs underground turn 1, strikes turn 2."
Disable,Normal,Non-Damaging,0,55,20,"For 1-7 turns, disables the target's last move."
Dizzy Punch,Normal,Physical,70,100,10,20% chance to confuse the target.
Double Kick,Fighting,Physical,30,100,30,Hits 2 times in one turn.
Double Slap,Normal,Physical,15,85,10,Hits 2-5 times in one turn.
Double Team,Normal,Non-Damaging,0,0,15,Raises the user's evasiveness by 1.
Double-Edge,Normal,Physical,120,100,15,Has 1/4 recoil.
Dragon Breath,Dragon,Special,60,100,20,30% chance to paralyze the target.
Dragon Rage,Dragon,Special,0,100,10,Deals 40 HP of damage to the target.
Dream Eater,Psychic,Special,100,100,15,User gains 1/2 HP inflicted. Sleeping target only.
Drill Peck,Flying,Physical,80,100,20,No additional effect.
Dynamic Punch,Fighting,Physical,100,50,5,100% chance to confuse the target.
Earthquake,Ground,Physical,100,100,10,Power doubles on Dig.
Egg Bomb,Normal,Physical,100,75,10,No additional effect.
Ember,Fire,Special,40,100,25,10% chance to burn the target.
Encore,Normal,Non-Damaging,0,100,5,The target repeats its last move for 3-6 turns.
Endure,Normal,Non-Damaging,0,0,10,User survives attacks this turn with at least 1 HP.
Explosion,Normal,Physical,250,100,5,Target's Def halved during damage. User faints.
Extreme Speed,Normal,Physical,80,100,5,Usually goes first.
False Swipe,Normal,Physical,40,100,40,Always leaves the target with at least 1 HP.
Feint Attack,Dark,Special,60,0,20,This move does not check accuracy.
Fire Blast,Fire,Special,120,85,5,10% chance to burn the target.
Fire Punch,Fire,Special,75,100,15,10% chance to burn the target.
Fire Spin,Fire,Special,15,70,15,Traps and damages the target for 2-5 turns.
Fissure,Ground,Physical,0,30,5,OHKOs the target. Fails if user is a lower level.
Flail,Normal,Physical,0,100,15,More power the less HP the user has left.
Flame Wheel,Fire,Special,60,100,25,10% chance to burn the target. Thaws user.
Flamethrower,Fire,Special,95,100,15,10% chance to burn the target.
Flash,Normal,Non-Damaging,0,70,20,Lowers the target's accuracy by 1.
Fly,Flying,Physical,70,95,15,"Flies up on first turn, then strikes the next turn."
Focus Energy,Normal,Non-Damaging,0,0,30,Raises the user's critical hit ratio by 1.
Foresight,Normal,Non-Damaging,0,100,40,"Fighting, Normal hit Ghost. Evasiveness ignored."
Frustration,Normal,Physical,0,100,20,Max 102 power at minimum Happiness.
Fury Attack,Normal,Physical,15,85,20,Hits 2-5 times in one turn.
Fury Cutter,Bug,Physical,10,95,20,"Power doubles with each hit, up to 160."
Fury Swipes,Normal,Physical,18,80,15,Hits 2-5 times in one turn.
Future Sight,Psychic,Special,80,90,15,Hits two turns after being used.
Giga Drain,Grass,Special,60,100,5,User recovers 50% of the damage dealt.
Glare,Normal,Non-Damaging,0,75,30,Paralyzes the target.
Growl,Normal,Non-Damaging,0,100,40,Lowers the target's Attack by 1.
Growth,Normal,Non-Damaging,0,0,40,Raises the user's Sp. Atk by 1.
Guillotine,Normal,Physical,0,30,5,OHKOs the target. Fails if user is a lower level.
Gust,Flying,Physical,40,100,35,Power doubles during Fly.
Harden,Normal,Non-Damaging,0,0,30,Raises the user's Defense by 1.
Haze,Ice,Non-Damaging,0,0,30,Eliminates all stat changes.
Headbutt,Normal,Physical,70,100,15,30% chance to make the target flinch.
Heal Bell,Normal,Non-Damaging,0,0,5,Cures the user's party of all status conditions.
Hidden Power,Normal,Physical,0,100,15,Varies in power and type based on the user's IVs.
High Jump Kick,Fighting,Physical,85,90,20,"If miss, user takes 1/8 damage it would've dealt."
Horn Attack,Normal,Physical,65,100,25,No additional effect.
Horn Drill,Normal,Physical,0,30,5,OHKOs the target. Fails if user is a lower level.
Hydro Pump,Water,Special,120,80,5,No additional effect.
Hyper Beam,Normal,Physical,150,90,5,User cannot move next turn.
Hyper Fang,Normal,Physical,80,90,15,10% chance to make the target flinch.
Hypnosis,Psychic,Non-Damaging,0,60,20,Causes the target to fall asleep.
Ice Beam,Ice,Special,95,100,10,10% chance to freeze the target.
Ice Punch,Ice,Special,75,100,15,10% chance to freeze the target.
Icy Wind,Ice,Special,55,95,15,100% chance to lower the target's Speed by 1.
Iron Tail,Steel,Physical,100,75,15,30% chance to lower the target's Defense by 1.
Jump Kick,Fighting,Physical,70,95,25,"If miss, user takes 1/8 damage it would've dealt."
Karate Chop,Fighting,Physical,50,100,25,High critical hit ratio.
Kinesis,Psychic,Non-Damaging,0,80,15,Lowers the target's accuracy by 1.
Leech Life,Bug,Physical,20,100,15,User recovers 50% of the damage dealt.
Leech Seed,Grass,Non-Damaging,0,90,10,1/8 of target's HP is restored to user every turn.
Leer,Normal,Non-Damaging,0,100,30,Lowers the target's Defense by 1.
Lick,Ghost,Physical,20,100,30,30% chance to paralyze the target.
Light Screen,Psychic,Non-Damaging,0,0,30,"For 5 turns, the user's party has doubled Sp. Def."
Lock-On,Normal,Non-Damaging,0,100,5,The next move will not miss the target.
Lovely Kiss,Normal,Non-Damaging,0,75,10,Causes the target to fall asleep.
Low Kick,Fighting,Physical,50,90,20,30% chance to make the target flinch.
Mach Punch,Fighting,Physical,40,100,30,Usually goes first.
Magnitude,Ground,Physical,0,100,30,Hits adjacent Pokemon. Power varies; 2x on Dig.
Mean Look,Normal,Non-Damaging,0,0,5,Prevents the target from switching out.
Meditate,Psychic,Non-Damaging,0,0,40,Raises the user's Attack by 1.
Mega Drain,Grass,Special,40,100,10,User recovers 50% of the damage dealt.
Mega Kick,Normal,Physical,120,75,5,No additional effect.
Mega Punch,Normal,Physical,80,85,20,No additional effect.
Megahorn,Bug,Physical,120,85,10,No additional effect.
Metal Claw,Steel,Physical,50,95,35,10% chance to raise the user's Attack by 1.
Metronome,Normal,Non-Damaging,0,0,10,Picks a random move.
Milk Drink,Normal,Non-Damaging,0,0,10,Heals the user by 50% of its max HP.
Mimic,Normal,Non-Damaging,0,100,10,The last move the target used replaces this one.
Mind Reader,Normal,Non-Damaging,0,100,5,The next move will not miss the target.
Minimize,Normal,Non-Damaging,0,0,20,Raises the user's evasiveness by 1.
Mirror Coat,Psychic,Special,0,100,20,"If hit by special attack, returns double damage."
Mirror Move,Flying,Non-Damaging,0,0,20,User uses the target's last used move against it.
Mist,Ice,Non-Damaging,0,0,30,"While active, user is protected from stat drops."
Moonlight,Normal,Non-Damaging,0,0,5,Heals the user by a weather-dependent amount.
Morning Sun,Normal,Non-Damaging,0,0,5,Heals the user by a weather-dependent amount.
Mud-Slap,Ground,Physical,20,100,10,100% chance to lower the target's accuracy by 1.
Night Shade,Ghost,Physical,0,100,15,Does damage equal to the user's level.
Nightmare,Ghost,Non-Damaging,0,0,15,A sleeping target is hurt by 1/4 max HP per turn.
Octazooka,Water,Special,65,85,10,50% chance to lower the target's accuracy by 1.
Outrage,Dragon,Special,90,100,15,Lasts 2-3 turns. Confuses the user afterwards.
Pain Split,Normal,Non-Damaging,0,100,20,Shares HP of user and target equally.
Pay Day,Normal,Physical,40,100,20,Scatters coins.
Peck,Flying,Physical,35,100,35,No additional effect.
Perish Song,Normal,Non-Damaging,0,0,5,All active Pokemon will faint in 3 turns.
Petal Dance,Grass,Special,70,100,20,Lasts 2-3 turns. Confuses the user afterwards.
Pin Missile,Bug,Physical,14,85,20,Hits 2-5 times in one turn.
Poison Gas,Poison,Non-Damaging,0,55,40,Poisons the target.
Poison Powder,Poison,Non-Damaging,0,75,35,Poisons the target.
Poison Sting,Poison,Physical,15,100,35,30% chance to poison the target.
Pound,Normal,Physical,40,100,35,No additional effect.
Powder Snow,Ice,Special,40,100,25,10% chance to freeze the target.
Present,Normal,Physical,0,90,15,"40, 80, 120 power, or heals target 1/4 max HP."
Protect,Normal,Non-Damaging,0,0,10,Prevents moves from affecting the user this turn.
Psybeam,Psychic,Special,65,100,20,10% chance to confuse the target.
Psych Up,Normal,Non-Damaging,0,0,10,Copies the target's current stat stages.
Psychic,Psychic,Special,90,100,10,10% chance to lower the target's Sp. Def by 1.
Psywave,Psychic,Special,0,80,15,Random damage from 1 to (user's level*1.5 - 1).
Pursuit,Dark,Special,40,100,20,Power doubles if the foe is switching out.
Quick Attack,Normal,Physical,40,100,30,Usually goes first.
Rage,Normal,Physical,20,100,20,Next Rage increases in damage if hit during use.
Rain Dance,Water,Non-Damaging,0,0,5,"For 5 turns, heavy rain powers Water moves."
Rapid Spin,Normal,Physical,20,100,40,"Frees user from hazards, binding, Leech Seed."
Razor Leaf,Grass,Special,55,95,25,High critical hit ratio.
Razor Wind,Normal,Physical,80,75,10,"Charges, then hits target turn 2. High crit ratio."
Recover,Normal,Non-Damaging,0,0,20,Heals the user by 50% of its max HP.
Reflect,Psychic,Non-Damaging,0,0,20,"For 5 turns, the user's party has doubled Def."
Rest,Psychic,Non-Damaging,0,0,10,User sleeps 2 turns and restores HP and status.
Return,Normal,Physical,0,100,20,Max 102 power at maximum Happiness.
Reversal,Fighting,Physical,0,100,15,More power the less HP the user has left.
Roar,Normal,Non-Damaging,0,100,20,Forces the target to switch to a random ally.
Rock Slide,Rock,Physical,75,90,10,30% chance to make the target flinch.
Rock Smash,Fighting,Physical,20,100,15,50% chance to lower the target's Defense by 1.
Rock Throw,Rock,Physical,50,90,15,No additional effect.
Rolling Kick,Fighting,Physical,60,85,15,30% chance to make the target flinch.
Rollout,Rock,Physical,30,90,20,Power doubles with each hit. Repeats for 5 turns.
Sacred Fire,Fire,Special,100,95,5,50% chance to burn the target. Thaws user.
Safeguard,Normal,Non-Damaging,0,0,25,"For 5 turns, protects user's party from status."
Sand Attack,Ground,Non-Damaging,0,100,15,Lowers the target's accuracy by 1.
Sandstorm,Rock,Non-Damaging,0,0,10,"For 5 turns, a sandstorm rages."
Scary Face,Normal,Non-Damaging,0,90,10,Lowers the target's Speed by 2.
Scratch,Normal,Physical,40,100,35,No additional effect.
Screech,Normal,Non-Damaging,0,85,40,Lowers the target's Defense by 2.
Seismic Toss,Fighting,Physical,0,100,20,Does damage equal to the user's level.
Self-Destruct,Normal,Physical,200,100,5,Target's Def halved during damage. User faints.
Shadow Ball,Ghost,Physical,80,100,15,20% chance to lower the target's Sp. Def by 1.
Sharpen,Normal,Non-Damaging,0,0,30,Raises the user's Attack by 1.
Sing,Normal,Non-Damaging,0,55,15,Causes the target to fall asleep.
Sketch,Normal,Non-Damaging,0,0,1,Fails when used in Link Battles.
Skull Bash,Normal,Physical,100,100,15,Raises user's Defense by 1 on turn 1. Hits turn 2.
Sky Attack,Flying,Physical,140,90,5,Charges turn 1. Hits turn 2.
Slam,Normal,Physical,80,75,20,No additional effect.
Slash,Normal,Physical,70,100,20,High critical hit ratio.
Sleep Powder,Grass,Non-Damaging,0,75,15,Causes the target to fall asleep.
Sleep Talk,Normal,Non-Damaging,0,0,10,User must be asleep. Uses another known move.
Sludge,Poison,Physical,65,100,20,30% chance to poison the target.
Sludge Bomb,Poison,Physical,90,100,10,30% chance to poison the target.
Smog,Poison,Physical,20,70,20,40% chance to poison the target.
Smokescreen,Normal,Non-Damaging,0,100,20,Lowers the target's accuracy by 1.
Snore,Normal,Physical,40,100,15,User must be asleep. 30% chance to flinch target.
Soft-Boiled,Normal,Non-Damaging,0,0,10,Heals the user by 50% of its max HP.
Solar Beam,Grass,Special,120,100,10,Charges turn 1. Hits turn 2. No charge in sunlight.
Sonic Boom,Normal,Physical,0,90,20,Always does 20 HP of damage.
Spark,Electric,Special,65,100,20,30% chance to paralyze the target.
Spider Web,Bug,Non-Damaging,0,0,10,Prevents the target from switching out.
Spike Cannon,Normal,Physical,20,100,15,Hits 2-5 times in one turn.
Spikes,Ground,Non-Damaging,0,0,20,Hurts grounded foes on switch-in. Max 1 layer.
Spite,Ghost,Non-Damaging,0,100,10,Lowers the PP of the target's last move by 2-5.
Splash,Normal,Non-Damaging,0,0,40,No competitive use.
Spore,Grass,Non-Damaging,0,100,15,Causes the target to fall asleep.
Steel Wing,Steel,Physical,70,90,25,10% chance to raise the user's Defense by 1.
Stomp,Normal,Physical,65,100,20,30% chance to make the target flinch.
Strength,Normal,Physical,80,100,15,No additional effect.
String Shot,Bug,Non-Damaging,0,95,40,Lowers the target's Speed by 1.
Struggle,Normal,Physical,50,100,1,User loses 1/4 the HP lost by the target.
Stun Spore,Grass,Non-Damaging,0,75,30,Paralyzes the target.
Submission,Fighting,Physical,80,80,25,Has 1/4 recoil.
Substitute,Normal,Non-Damaging,0,0,10,User takes 1/4 its max HP to put in a substitute.
Sunny Day,Fire,Non-Damaging,0,0,5,"For 5 turns, intense sunlight powers Fire moves."
Super Fang,Normal,Physical,0,90,10,Does damage equal to 1/2 target's current HP.
Supersonic,Normal,Non-Damaging,0,55,20,Causes the target to become confused.
Surf,Water,Special,95,100,15,No additional effect.
Swagger,Normal,Non-Damaging,0,90,15,Raises the target's Attack by 2 and confuses it.
Sweet Kiss,Normal,Non-Damaging,0,75,10,Causes the target to become confused.
Sweet Scent,Normal,Non-Damaging,0,100,20,Lowers the target's evasiveness by 1.
Swift,Normal,Physical,60,0,20,This move does not check accuracy.
Swords Dance,Normal,Non-Damaging,0,0,30,Raises the user's Attack by 2.
Synthesis,Grass,Non-Damaging,0,0,5,Heals the user by a weather-dependent amount.
Tackle,Normal,Physical,35,95,35,No additional effect.
Tail Whip,Normal,Non-Damaging,0,100,30,Lowers the target's Defense by 1.
Take Down,Normal,Physical,90,85,20,Has 1/4 recoil.
Teleport,Psychic,Non-Damaging,0,0,20,Fails when used.
Thief,Dark,Special,40,100,10,"If the user has no item, it steals the target's."
Thrash,Normal,Physical,90,100,20,Lasts 2-3 turns. Confuses the user afterwards.
Thunder,Electric,Special,120,70,10,30% chance to paralyze. Can't miss in rain.
Thunder Punch,Electric,Special,75,100,15,10% chance to paralyze the target.
Thunder Shock,Electric,Special,40,100,30,10% chance to paralyze the target.
Thunder Wave,Electric,Non-Damaging,0,100,20,Paralyzes the target.
Thunderbolt,Electric,Special,95,100,15,10% chance to paralyze the target.
Toxic,Poison,Non-Damaging,0,85,10,Badly poisons the target.
Transform,Normal,Non-Damaging,0,0,10,"Copies target's stats, moves, types, and species."
Tri Attack,Normal,Physical,80,100,10,20% chance to paralyze or burn or freeze target.
Triple Kick,Fighting,Physical,10,90,10,Hits 1-3 times. Power rises with each hit.
Twineedle,Bug,Physical,25,100,20,Hits 2 times. Last hit has 20% chance to poison.
Twister,Dragon,Special,40,100,20,20% chance to make the target flinch.
Vice Grip,Normal,Physical,55,100,30,No additional effect.
Vine Whip,Grass,Special,35,100,10,No additional effect.
Vital Throw,Fighting,Physical,70,0,10,This move does not check accuracy. Goes last.
Water Gun,Water,Special,40,100,25,No additional effect.
Waterfall,Water,Special,80,100,15,No additional effect.
Whirlpool,Water,Special,15,70,15,Traps and damages the target for 2-5 turns.
Whirlwind,Normal,Non-Damaging,0,100,20,Forces the target to switch to a random ally.
Wing Attack,Flying,Physical,60,100,35,No additional effect.
Withdraw,Water,Non-Damaging,0,0,40,Raises the user's Defense by 1.
Wrap,Normal,Physical,15,85,20,Traps and damages the target for 2-5 turns.
Zap Cannon,Electric,Special,100,50,5,100% chance to paralyze the target.
