name,ndex,type1,type2,hp,atk,def,spa,spd,spe
Gloom,44,Grass,Poison,60,65,70,85,75,40
Vileplume,45,Grass,Poison,75,80,85,100,90,50
Paras,46,Bug,Grass,35,70,55,45,55,25
Parasect,47,Bug,Grass,60,95,80,60,80,30
Venonat,48,Bug,Poison,60,55,50,40,55,45
Venomoth,49,Bug,Poison,70,65,60,90,75,90
Diglett,50,Ground,,10,55,25,35,45,95
Dugtrio,51,Ground,,35,80,50,50,70,120
Meowth,52,Normal,,40,45,35,40,40,90
Persian,53,Normal,,65,70,60,65,65,115
Psyduck,54,Water,,50,52,48,65,50,55
Golduck,55,Water,,80,82,78,95,80,85
Mankey,56,Fighting,,40,80,35,35,45,70
Primeape,57,Fighting,,65,105,60,60,70,95
Growlithe,58,Fire,,55,70,45,70,50,60
Arcanine,59,Fire,,90,110,80,100,80,95
Poliwag,60,Water,,40,50,40,40,40,90
Poliwhirl,61,Water,,65,65,65,50,50,90
Poliwrath,62,Water,Fighting,90,85,95,70,90,70
Abra,63,Psychic,,25,20,15,105,55,90
Kadabra,64,Psychic,,40,35,30,120,70,105
Alakazam,65,Psychic,,55,50,45,135,85,120
Machop,66,Fighting,,70,80,50,35,35,35
Machoke,67,Fighting,,80,100,70,50,60,45
Machamp,68,Fighting,,90,130,80,65,85,55
Bellsprout,69,Grass,Poison,50,75,35,70,30,40
Weepinbell,70,Grass,Poison,65,90,50,85,45,55
Victreebel,71,Grass,Poison,80,105,65,100,60,70
Tentacool,72,Water,Poison,40,40,35,50,100,70
Tentacruel,73,Water,Poison,80,70,65,80,120,100
Geodude,74,Rock,Ground,40,80,100,30,30,20
Graveler,75,Rock,Ground,55,95,115,45,45,35
Golem,76,Rock,Ground,80,110,130,55,65,45
Ponyta,77,Fire,,50,85,55,65,65,90
Rapidash,78,Fire,,65,100,70,80,80,105
Slowpoke,79,Water,Psychic,90,65,65,40,40,15
Slowbro,80,Water,Psychic,95,75,110,100,80,30
Magnemite,81,Electric,Steel,25,35,70,95,55,45
Magneton,82,Electric,Steel,50,60,95,120,70,70
Farfetch'd,83,Normal,Flying,52,65,55,58,62,60
Doduo,84,Normal,Flying,35,85,45,35,35,75
Dodrio,85,Normal,Flying,60,110,70,60,60,100
Seel,86,Water,,65,45,55,45,70,45
Dewgong,87,Water,Ice,90,70,80,70,95,70
Grimer,88,Poison,,80,80,50,40,50,25
Muk,89,Poison,,105,105,75,65,100,50
Shellder,90,Water,,30,65,100,45,25,40
Cloyster,91,Water,Ice,50,95,180,85,45,70
Gastly,92,Ghost,Poison,30,35,30,100,35,80
Haunter,93,Ghost,Poison,45,50,45,115,55,95
Gengar,94,Ghost,Poison,60,65,60,130,75,110
Onix,95,Rock,Ground,35,45,160,30,45,70
Drowzee,96,Psychic,,60,48,45,43,90,42
Hypno,97,Psychic,,85,73,70,73,115,67
Krabby,98,Water,,30,105,90,25,25,50
Kingler,99,Water,,55,130,115,50,50,75
Voltorb,100,Electric,,40,30,50,55,55,100
Electrode,101,Electric,,60,50,70,80,80,140
Exeggcute,102,Grass,Psychic,60,40,80,60,45,40
Exeggutor,103,Grass,Psychic,95,95,85,125,65,55
Cubone,104,Ground,,50,50,95,40,50,35
Marowak,105,Ground,,60,80,110,50,80,45
Hitmonlee,106,Fighting,,50,120,53,35,110,87
Hitmonchan,107,Fighting,,50,105,79,35,110,76
Lickitung,108,Normal,,90,55,75,60,75,30
Koffing,109,Poison,,40,65,95,60,45,35
Weezing,110,Poison,,65,90,120,85,70,60
Rhyhorn,111,Ground,Rock,80,85,95,30,30,25
Rhydon,112,Ground,Rock,105,130,120,45,45,40
Chansey,113,Normal,,250,5,5,35,105,50
Tangela,114,Grass,,65,55,115,100,40,60
Kangaskhan,115,Normal,,105,95,80,40,80,90
Horsea,116,Water,,30,40,70,70,25,60
Seadra,117,Water,,55,65,95,95,45,85
Goldeen,118,Water,,45,67,60,35,50,63
Seaking,119,Water,,80,92,65,65,80,68
Staryu,120,Water,,30,45,55,70,55,85
Starmie,121,Water,Psychic,60,75,85,100,85,115
Mr. Mime,122,Psychic,,40,45,65,100,120,90
Scyther,123,Bug,Flying,70,110,80,55,80,105
Jynx,124,Ice,Psychic,65,50,35,115,95,95
Electabuzz,125,Electric,,65,83,57,95,85,105
Magmar,126,Fire,,65,95,57,100,85,93
Pinsir,127,Bug,,65,125,100,55,70,85
Tauros,128,Normal,,75,100,95,40,70,110
Magikarp,129,Water,,20,10,55,15,20,80
Gyarados,130,Water,Flying,95,125,79,60,100,81
Lapras,131,Water,Ice,130,85,80,85,95,60
Ditto,132,Normal,,48,48,48,48,48,48
Eevee,133,Normal,,55,55,50,45,65,55
Vaporeon,134,Water,,130,65,60,110,95,65
Jolteon,135,Electric,,65,65,60,110,95,130
Flareon,136,Fire,,65,130,60,95,110,65
Porygon,137,Normal,,65,60,70,85,75,40
Omanyte,138,Rock,Water,35,40,100,90,55,35
Omastar,139,Rock,Water,70,60,125,115,70,55
Kabuto,140,Rock,Water,30,80,90,55,45,55
Kabutops,141,Rock,Water,60,115,105,65,70,80
Aerodactyl,142,Rock,Flying,80,105,65,60,75,130
Snorlax,143,Normal,,160,110,65,65,110,30
Articuno,144,Ice,Flying,90,85,100,95,125,85
Zapdos,145,Electric,Flying,90,90,85,125,90,100
Moltres,146,Fire,Flying,90,100,90,125,85,90
Dratini,147,Dragon,,41,64,45,50,50,50
Dragonair,148,Dragon,,61,84,65,70,70,70
Dragonite,149,Dragon,Flying,91,134,95,100,100,80
Mewtwo,150,Psychic,,106,110,90,154,90,130
Mew,151,Psychic,,100,100,100,100,100,100
Chikorita,152,Grass,,45,49,65,49,65,45
Bayleef,153,Grass,,60,62,80,63,80,60
Meganium,154,Grass,,80,82,100,83,100,80
Cyndaquil,155,Fire,,39,52,43,60,50,65
Quilava,156,Fire,,58,64,58,80,65,80
Typhlosion,157,Fire,,78,84,78,109,85,100
Totodile,158,Water,,50,65,64,44,48,43
Croconaw,159,Water,,65,80,80,59,63,58
Feraligatr,160,Water,,85,105,100,79,83,78
Sentret,161,Normal,,35,46,34,35,45,20
Furret,162,Normal,,85,76,64,45,55,90
Hoothoot,163,Normal,Flying,60,30,30,36,56,50
Noctowl,164,Normal,Flying,100,50,50,76,96,70
Ledyba,165,Bug,Flying,40,20,30,40,80,55
Ledian,166,Bug,Flying,55,35,50,55,110,85
Spinarak,167,Bug,Poison,40,60,40,40,40,30
Ariados,168,Bug,Poison,70,90,70,60,60,40
Crobat,169,Poison,Flying,85,90,80,70,80,130
Chinchou,170,Water,Electric,75,38,38,56,56,67
Lanturn,171,Water,Electric,125,58,58,76,76,67
Pichu,172,Electric,,20,40,15,35,35,60
Cleffa,173,Normal,,50,25,28,45,55,15
Igglybuff,174,Normal,,90,30,15,40,20,15
Togepi,175,Normal,,35,20,65,40,65,20
Togetic,176,Normal,Flying,55,40,85,80,105,40
Natu,177,Psychic,Flying,40,50,45,70,45,70
Xatu,178,Psychic,Flying,65,75,70,95,70,95
Mareep,179,Electric,,55,40,40,65,45,35
Flaaffy,180,Electric,,70,55,55,80,60,45
Ampharos,181,Electric,,90,75,75,115,90,55
Bellossom,182,Grass,,75,80,85,90,100,50
Marill,183,Water,,70,20,50,20,50,40
Azumarill,184,Water,,100,50,80,50,80,50
Sudowoodo,185,Rock,,70,100,115,30,65,30
Politoed,186,Water,,90,75,75,90,100,70
Hoppip,187,Grass,Flying,35,35,40,35,55,50
Skiploom,188,Grass,Flying,55,45,50,45,65,80
Jumpluff,189,Grass,Flying,75,55,70,55,85,110
Aipom,190,Normal,,55,70,55,40,55,85
Sunkern,191,Grass,,30,30,30,30,30,30
Sunflora,192,Grass,,75,75,55,105,85,30
Yanma,193,Bug,Flying,65,65,45,75,45,95
Wooper,194,Water,Ground,55,45,45,25,25,15
Quagsire,195,Water,Ground,95,85,85,65,65,35
Espeon,196,Psychic,,65,65,60,130,95,110
Umbreon,197,Dark,,95,65,110,60,130,65
Murkrow,198,Dark,Flying,60,85,42,85,42,91
Slowking,199,Water,Psychic,95,75,80,100,110,30
Misdreavus,200,Ghost,,60,60,60,85,85,85
Unown,201,Psychic,,48,72,48,72,48,48
Wobbuffet,202,Psychic,,190,33,58,33,58,33
Girafarig,203,Normal,Psychic,70,80,65,90,65,85
Pineco,204,Bug,,50,65,90,35,35,15
Forretress,205,Bug,Steel,75,90,140,60,60,40
Dunsparce,206,Normal,,100,70,70,65,65,45
Gligar,207,Ground,Flying,65,75,105,35,65,85
Steelix,208,Steel,Ground,75,85,200,55,65,30
Snubbull,209,Normal,,60,80,50,40,40,30
Granbull,210,Normal,,90,120,75,60,60,45
Qwilfish,211,Water,Poison,65,95,75,55,55,85
Scizor,212,Bug,Steel,70,130,100,55,80,65
Shuckle,213,Bug,Rock,20,10,230,10,230,5
Heracross,214,Bug,Fighting,80,125,75,40,95,85
Sneasel,215,Dark,Ice,55,95,55,35,75,115
Teddiursa,216,Normal,,60,80,50,50,50,40
Ursaring,217,Normal,,90,130,75,75,75,55
Slugma,218,Fire,,40,40,40,70,40,20
Magcargo,219,Fire,Rock,50,50,120,80,80,30
Swinub,220,Ice,Ground,50,50,40,30,30,50
Piloswine,221,Ice,Ground,100,100,80,60,60,50
Corsola,222,Water,Rock,55,55,85,65,85,35
Remoraid,223,Water,,35,65,35,65,35,65
Octillery,224,Water,,75,105,75,105,75,45
Delibird,225,Ice,Flying,45,55,45,65,45,75
Mantine,226,Water,Flying,65,40,70,80,140,70
Skarmory,227,Steel,Flying,65,80,140,40,70,70
Houndour,228,Dark,Fire,45,60,30,80,50,65
Houndoom,229,Dark,Fire,75,90,50,110,80,95
Kingdra,230,Water,Dragon,75,95,95,95,95,85
Phanpy,231,Ground,,90,60,60,40,40,40
Donphan,232,Ground,,90,120,120,60,60,50
Porygon2,233,Normal,,85,80,90,105,95,60
Stantler,234,Normal,,73,95,62,85,65,85
Smeargle,235,Normal,,55,20,35,20,45,75
Tyrogue,236,Fighting,,35,35,35,35,35,35
Hitmontop,237,Fighting,,50,95,95,35,110,70
Smoochum,238,Ice,Psychic,45,30,15,85,65,65
Elekid,239,Electric,,45,63,37,65,55,95
Magby,240,Fire,,45,75,37,70,55,83
Miltank,241,Normal,,95,80,105,40,70,100
Blissey,242,Normal,,255,10,10,75,135,55
Raikou,243,Electric,,90,85,75,115,100,115
Entei,244,Fire,,115,115,85,90,75,100
Suicune,245,Water,,100,75,115,90,115,85
Larvitar,246,Rock,Ground,50,64,50,45,50,41
Pupitar,247,Rock,Ground,70,84,70,65,70,51
Tyranitar,248,Rock,Dark,100,134,110,95,100,61
Lugia,249,Psychic,Flying,106,90,130,90,154,110
Ho-Oh,250,Fire,Flying,106,130,90,110,154,90
Celebi,251,Psychic,Grass,100,100,100,100,100,100
